"Date","DAILY_AQI_VALUE","Site Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
NA,36,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,45,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,50,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,54,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,41,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,46,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,58,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,54,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,58,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,36,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,41,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,33,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,34,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,31,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,34,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,24,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,31,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,49,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,48,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,58,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,45,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,36,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,64,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,41,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,39,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,39,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,34,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,50,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,40,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,49,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,49,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,47,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,67,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,39,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,37,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,22,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,32,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,23,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,30,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,41,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,50,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,30,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,32,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,48,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,37,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,48,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,77,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,61,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,45,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,48,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,45,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,30,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,34,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,32,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,32,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,47,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,30,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,30,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,34,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,47,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,28,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,31,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,39,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,29,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,34,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,31,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,27,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,48,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,51,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,49,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,64,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,58,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,46,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,45,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,41,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
